material_id,name,thickness_mm,unit_size,unit_price,loss_rate
LAUAN_2.5_910x1820,ラワンベニヤ T2 2.5mm 910x1820,2.5,910x1820,760,0
LAUAN_2.5_1220x2440,ラワンベニヤ T2 2.5mm 1220x2440,2.5,1220x2440,1620,0
LAUAN_31_910x1820,ラワンベニヤ T2 3mm(T1) 910x1820,3,910x1820,1020,0
LAUAN_31_1220x2440,ラワンベニヤ T2 3mm(T1) 1220x2440,3,1220x2440,2760,0
LAUAN_4_910x1820,ラワンベニヤ T2 4mm 910x1820,4,910x1820,1020,0
LAUAN_4_1220x2440,ラワンベニヤ T2 4mm 1220x2440,4,1220x2440,2010,0
LAUAN_5.5_910x1820,ラワンベニヤ T2 5.5mm 910x1820,5.5,910x1820,1180,0
LAUAN_5.5_1220x2440,ラワンベニヤ T2 5.5mm 1220x2440,5.5,1220x2440,2320,0
LAUAN_9_910x1820,ラワンベニヤ T2 9mm 910x1820,9,910x1820,1710,0
LAUAN_9_1220x2440,ラワンベニヤ T2 9mm 1220x2440,9,1220x2440,3120,0
LAUAN_12_910x1820,ラワンベニヤ T2 12mm 910x1820,12,910x1820,2250,0
LAUAN_12_1220x2440,ラワンベニヤ T2 12mm 1220x2440,12,1220x2440,4050,0
LAUAN_15_910x1820,ラワンベニヤ T2 15mm 910x1820,15,910x1820,2850,0
LAUAN_15_1220x2440,ラワンベニヤ T2 15mm 1220x2440,15,1220x2440,5160,0
LAUAN_18_910x1820,ラワンベニヤ T2 18mm 910x1820,18,910x1820,3660,0
LAUAN_18_1220x2440,ラワンベニヤ T2 18mm 1220x2440,18,1220x2440,6300,0
LAUAN_21_910x1820,ラワンベニヤ T2 21mm 910x1820,21,910x1820,3980,0
LAUAN_21_1220x2440,ラワンベニヤ T2 21mm 1220x2440,21,1220x2440,7000,0
LAUAN_24_910x1820,ラワンベニヤ T2 24mm 910x1820,24,910x1820,4500,0
LAUAN_LUMBER_12_910x1820,ラワンランバー 12mm 910x1820,12,910x1820,1750,0
LAUAN_LUMBER_12_1220x2440,ラワンランバー 12mm 1220x2440,12,1220x2440,2860,0
LAUAN_LUMBER_15_910x1820,ラワンランバー 15mm 910x1820,15,910x1820,1900,0
LAUAN_LUMBER_15_1220x2440,ラワンランバー 15mm 1220x2440,15,1220x2440,3210,0
LAUAN_LUMBER_18_910x1820,ラワンランバー 18mm 910x1820,18,910x1820,2240,0
LAUAN_LUMBER_18_1220x2440,ラワンランバー 18mm 1220x2440,18,1220x2440,3720,0
LAUAN_LUMBER_21_910x1820,ラワンランバー 21mm 910x1820,21,910x1820,2610,0
LAUAN_LUMBER_21_1220x2440,ラワンランバー 21mm 1220x2440,21,1220x2440,4430,0
LAUAN_LUMBER_24_910x1820,ラワンランバー 24mm 910x1820,24,910x1820,2940,0
LAUAN_LUMBER_24_1220x2440,ラワンランバー 24mm 1220x2440,24,1220x2440,4980,0
LAUAN_LUMBER_30_910x1820,ラワンランバー 30mm 910x1820,30,910x1820,3770,0
LAUAN_LUMBER_30_1220x2440,ラワンランバー 30mm 1220x2440,30,1220x2440,6320,0
SHINA_3_910x1820,シナベニヤ T2 3mm 910x1820,3,910x1820,1920,0
SHINA_3_1220x2440,シナベニヤ T2 3mm 1220x2440,3,1220x2440,3840,0
SHINA_4_910x1820,シナベニヤ T2 4mm 910x1820,4,910x1820,1920,0
SHINA_4_1220x2440,シナベニヤ T2 4mm 1220x2440,4,1220x2440,4080,0
SHINA_5.5_910x1820,シナベニヤ T2 5.5mm 910x1820,5.5,910x1820,2880,0
SHINA_5.5_1220x2440,シナベニヤ T2 5.5mm 1220x2440,5.5,1220x2440,5760,0
SHINA_9_910x1820,シナベニヤ T2 9mm 910x1820,9,910x1820,4200,0
SHINA_9_1220x2440,シナベニヤ T2 9mm 1220x2440,9,1220x2440,9600,0
SHINA_LUMBER_12_910x1820,シナランバー 12mm 910x1820,12,910x1820,3570,0
SHINA_LUMBER_12_1220x2440,シナランバー 12mm 1220x2440,12,1220x2440,7060,0
SHINA_LUMBER_15_910x1820,シナランバー 15mm 910x1820,15,910x1820,3780,0
SHINA_LUMBER_15_1220x2440,シナランバー 15mm 1220x2440,15,1220x2440,7300,0
SHINA_LUMBER_18_910x1820,シナランバー 18mm 910x1820,18,910x1820,3900,0
SHINA_LUMBER_18_1220x2440,シナランバー 18mm 1220x2440,18,1220x2440,7680,0
SHINA_LUMBER_21_910x1820,シナランバー 21mm 910x1820,21,910x1820,4480,0
SHINA_LUMBER_21_1220x2440,シナランバー 21mm 1220x2440,21,1220x2440,8380,0
SHINA_LUMBER_24_910x1820,シナランバー 24mm 910x1820,24,910x1820,4920,0
SHINA_LUMBER_24_1220x2440,シナランバー 24mm 1220x2440,24,1220x2440,9180,0
SHINA_LUMBER_30_910x1820,シナランバー 30mm 910x1820,30,910x1820,7200,0
HAMA_LUMBER_W_15_910x1820,ハマランバー 白 15mm 910x1820,15,910x1820,6900,0
HAMA_LUMBER_W_18_910x1820,ハマランバー 白 18mm 910x1820,18,910x1820,7400,0
HAMA_LUMBER_W_18_1220x2440,ハマランバー 白 18mm 1220x2440,18,1220x2440,13400,0
HAMA_LUMBER_W_21_910x1820,ハマランバー 白 21mm 910x1820,21,910x1820,7700,0
HAMA_LUMBER_W_21_1220x2440,ハマランバー 白 21mm 1220x2440,21,1220x2440,13700,0
HAMA_LUMBER_W_24_910x1820,ハマランバー 白 24mm 910x1820,24,910x1820,8400,0
HAMA_LUMBER_W_24_1220x2440,ハマランバー 白 24mm 1220x2440,24,1220x2440,15600,0
HAMA_LUMBER_W_30_910x1820,ハマランバー 白 30mm 910x1820,30,910x1820,10400,0
HAMA_COLOR_2.5_910x1820,ハマカラー 4VOC取得 544/514/583 2.5mm 910x1820,2.5,910x1820,1800,0
HAMA_COLOR_4.0_1220x2440,ハマカラー 4VOC取得 544/514/583 4.0mm 1220x2440,4,1220x2440,4600,0
HAMA_COLOR_BK_2.5_910x1820,ハマカラー 4VOC取得 711(黒) 2.5mm 910x1820,2.5,910x1820,2300,0
HAMA_COLOR_BK_4.0_1220x2440,ハマカラー 4VOC取得 711(黒) 4.0mm 1220x2440,4,1220x2440,5550,0
CONIFER_24_910x1820,針葉樹ベニヤ 24mm 910x1820,24,910x1820,3278,0
CONIFER_12_910x1820,針葉樹ベニヤ 12mm 910x1820,12,910x1820,1298,0
CONIFER_9_910x1820,針葉樹ベニヤ 9mm 910x1820,9,910x1820,1298,0
MELAMINE_A_1_1220x2440,メラミン A 柄物,1,1220x2440,10000,0
MELAMINE_B_1_1220x2440,メラミン B 特殊,1,1220x2440,20000,0
MDF_21_1220x2440,MDF 21mm,21,1220x2440,11280,0
